iter	RMSE
222	3.802320133
223	3.801537106
224	3.793809418
225	3.790031392
226	3.785517306
227	3.779720174
228	3.772501298
229	3.768026798
230	3.752974537
231	3.747756468
232	3.741178278
233	3.734577262
234	3.726414128
235	3.721514477
236	3.716540451
237	3.711460958
238	3.705177724
239	3.698965354
240	3.68466874
241	3.678253984
242	3.672237139
243	3.667608026
244	3.661599701
245	3.655338524
246	3.648529351
247	3.644317831
248	3.630053435
249	3.623546731
250	3.61910497
251	3.612195382
252	3.600108472
253	3.590775094
254	3.578441766
255	3.572479075
256	3.567520986
257	3.558956723
258	3.552827489
259	3.547981015
260	3.539815698
261	3.532750058
262	3.526353673
263	3.521256755
264	3.512960619
265	3.508315996
266	3.504134473
267	3.499124348
268	3.494521127
269	3.486401042
270	3.483295238
271	3.474196313
272	3.46905317
273	3.465071581
274	3.45979414
275	3.455354837
276	3.453038223
277	3.449949922
278	3.447653764
279	3.444665247
280	3.439591106
281	3.437325357
282	3.431872116
283	3.427843667
284	3.423053527
285	3.417994672
286	3.406922994
287	3.400637066
288	3.396250325
289	3.387596267
290	3.384575185
291	3.374708293
292	3.363528495
293	3.354696757
294	3.349005354
295	3.340553143
296	3.330329914
297	3.324396196
298	3.31878883
299	3.314635354
300	3.310137801
301	3.306635878
302	3.303436228
303	3.299747699
304	3.291186308
305	3.285076053
306	3.281005788
307	3.274797866
308	3.267269279
309	3.262867361
310	3.25825517
311	3.248637433
312	3.244720187
313	3.240509664
314	3.227846728
315	3.219743466
316	3.208658262
317	3.204662352
318	3.199835249
319	3.192629752
320	3.188076793
321	3.184023869
322	3.181413523
323	3.178588884
324	3.175074571
325	3.169947765
326	3.167050071
327	3.163578672
328	3.161976526
329	3.155982454
330	3.148729082
331	3.146139727
332	3.143199599
333	3.137888514
334	3.136203748
335	3.127968605
336	3.120568949
337	3.11747677
338	3.112664425
339	3.107709086
340	3.104449712
341	3.103337305
342	3.099814715
343	3.09159119
344	3.088907917
345	3.077169824
346	3.073855625
347	3.063873092
348	3.052919984
349	3.051526361
350	3.050268368
351	3.047443258
352	3.034773803
353	3.032745019
354	3.027551409
355	3.018209762
356	3.016476836
357	3.011023891
358	3.002521325
359	3.000759665
360	2.990639259
361	2.980658374
362	2.978944916
363	2.974605423
364	2.97036566
365	2.963619946
366	2.960485124
367	2.953794132
368	2.946781598
369	2.942458118
370	2.940041535
371	2.937104811
372	2.927033298
373	2.924806716
374	2.92056766
375	2.918247013
376	2.915731191
377	2.905964999
378	2.902133621
379	2.891099874
380	2.884819975
381	2.878275669
382	2.874064268
383	2.870178665
384	2.865292447
385	2.861387596
386	2.852288742
387	2.847470176
388	2.838235201
389	2.826646718
390	2.821431497
391	2.814158168
392	2.812241954
393	2.808785
394	2.801026059
395	2.79546838
396	2.793352754
397	2.785759192
398	2.782863211
399	2.780728545
400	2.772495018
401	2.766287054
402	2.763540825
403	2.758440487
404	2.753322638
405	2.75163905
406	2.743352568
407	2.736124921
408	2.7332972
409	2.721902166
410	2.715513984
411	2.705178899
412	2.703245012
413	2.697856379
414	2.691708655
415	2.689784746
416	2.683807003
417	2.679603363
418	2.672204381
419	2.667547613
420	2.664232227
421	2.654181209
422	2.647506264
423	2.641786484
424	2.634978432
425	2.626221673
426	2.624960229
427	2.618427179
428	2.61505408
429	2.606639984
430	2.599572045
431	2.597746299
432	2.595973988
433	2.590489886
434	2.582384258
435	2.57236868
436	2.566246302
437	2.562422619
438	2.554928523
439	2.549136279
440	2.540504049
441	2.53271793
442	2.529562113
443	2.526812613
444	2.517078531
445	2.51069088
446	2.509011528
447	2.506556544
448	2.501463966
449	2.499061576
450	2.494954264
451	2.493100015
452	2.486117051
453	2.478845351
454	2.473466485
455	2.464675353
456	2.463547353
457	2.456864162
458	2.453753668
459	2.451431207
460	2.447626388
461	2.442153847
462	2.436673451
463	2.43160104
464	2.429337514
465	2.423542293
466	2.420814924
467	2.416979719
468	2.414154773
469	2.408125173
470	2.407179107
471	2.399940053
472	2.391894744
473	2.388400009
474	2.383421304
475	2.37449896
476	2.370652198
477	2.367461696
478	2.36230694
479	2.360113041
480	2.355296146
481	2.349024786
482	2.344071042
483	2.339485528
484	2.33688714
485	2.333494602
486	2.325315057
487	2.317959346
488	2.31638786
489	2.3155866
490	2.309255709
491	2.30638702
492	2.303911385
493	2.299903841
494	2.292536711
495	2.287585117
496	2.280981828
497	2.274184208
498	2.273060814
499	2.270967327
500	2.26989741
501	2.26614459
502	2.262669611
503	2.260580802
504	2.256013762
505	2.253558516
506	2.249775696
507	2.242446943
508	2.239162448
509	2.235862389
510	2.229028772
511	2.22462849
512	2.220443534
513	2.215177079
514	2.213442791
515	2.209767077
516	2.205600614
517	2.203706535
518	2.201764066
519	2.200551882
520	2.198354511
521	2.196854829
522	2.189307141
523	2.18545288
524	2.182138101
525	2.180636632
526	2.17519282
527	2.172122248
528	2.165574944
529	2.164420174
530	2.161246557
531	2.159371987
532	2.156571673
533	2.15049125
534	2.146909953
535	2.141902922
536	2.140998203
537	2.134805228
538	2.132102385
539	2.130259535
540	2.1288751
541	2.124708125
542	2.119964603
543	2.117001825
544	2.115405357
545	2.11461721
546	2.110075029
547	2.103216451
548	2.101223387
549	2.100158523
550	2.09686649
551	2.091913454
552	2.091038085
553	2.086751539
554	2.082050856
555	2.078414086
556	2.071932568
557	2.068443439
558	2.064299676
559	2.061070173
560	2.060310658
561	2.056562758
562	2.052495579
563	2.051526033
564	2.047898968
565	2.047189701
566	2.040884999
567	2.03561287
568	2.034065124
569	2.030716179
570	2.025943923
571	2.025748619
572	2.023519556
573	2.022588858
574	2.020083317
575	2.014833225
576	2.012633007
577	2.008092772
578	2.001947979
579	1.999501759
580	1.997533522
581	1.994958232
582	1.993978006
583	1.992490155
584	1.990707063
585	1.987474597
586	1.985708117
587	1.982681419
588	1.981317572
589	1.97683204
590	1.975207939
591	1.971594464
592	1.96734404
593	1.965121154
594	1.959909829
595	1.954621968
596	1.954016429
597	1.951159192
598	1.949046003
599	1.94469285
600	1.939938019
601	1.935027836
602	1.934185927
603	1.932783924
604	1.929896233
605	1.928378332
606	1.922954169
607	1.922283268
608	1.921876256
609	1.921703964
610	1.918101702
611	1.915714059
612	1.911695647
613	1.908729532
614	1.906689496
615	1.905483919
616	1.902087266
617	1.900133676
618	1.896765815
619	1.894540063
620	1.89210641
621	1.889747981
622	1.885110763
623	1.881775408
624	1.879852909
625	1.879562474
626	1.8778016
627	1.875723697
628	1.871770466
629	1.869565111
630	1.867798568
631	1.863172958
632	1.862517093
633	1.859150089
634	1.857742495
635	1.853271039
636	1.847695599
637	1.845628256
638	1.842825744
639	1.84067982
640	1.837535475
641	1.832107793
642	1.829276182
643	1.824764958
644	1.81909181
645	1.817339172
646	1.813061705
647	1.808424307
648	1.80695518
649	1.805004499
650	1.802489282
651	1.800730779
652	1.797177401
653	1.796366291
654	1.794272969
655	1.793783806
656	1.792260489
657	1.789430781
658	1.786701522
659	1.783081306
660	1.778916848
661	1.775218079
662	1.769911044
663	1.76784341
664	1.764093471
665	1.763309189
666	1.762048283
667	1.76046939
668	1.758642642
669	1.757976218
670	1.755929987
671	1.754210141
672	1.749390379
673	1.747670636
674	1.744032212
675	1.740494441
676	1.738625951
677	1.735048171
678	1.733125963
679	1.731398489
680	1.729760664
681	1.725503169
682	1.722722375
683	1.720246612
684	1.717051081
685	1.714500911
686	1.710850293
687	1.707496206
688	1.704599874
689	1.701335127
690	1.698108376
691	1.692716393
692	1.689797964
693	1.687495849
694	1.686605107
695	1.682885426
696	1.679011684
697	1.677631906
698	1.675926191
699	1.672405076
700	1.669088433
701	1.663658713
702	1.661871332
703	1.661243202
704	1.659970917
705	1.656907353
706	1.656224094
707	1.651900106
708	1.649792857
709	1.647158987
710	1.645411777
711	1.641308565
712	1.640871669
713	1.637613703
714	1.637247025
715	1.635810701
716	1.632585245
717	1.631359476
718	1.630122557
719	1.628486808
720	1.626273196
721	1.624499905
722	1.622690815
723	1.622003208
724	1.617562815
725	1.615745713
726	1.614293635
727	1.611525931
728	1.610008517
729	1.607639276
730	1.605176165
731	1.602514235
732	1.598658383
733	1.594836132
734	1.593617873
735	1.591681572
736	1.591022562
737	1.589351641
738	1.587248721
739	1.586981608
740	1.586361713
741	1.584081553
742	1.582481118
743	1.581505647
744	1.580879883
745	1.579093722
746	1.575739028
747	1.575323248
748	1.572307374
749	1.570882566
750	1.569328885
751	1.566920927
752	1.564658908
753	1.561767768
754	1.561581069
755	1.561396398
756	1.561069385
757	1.55756762
758	1.554545121
759	1.55292278
760	1.551317666
761	1.549094536
762	1.548689438
763	1.545933985
764	1.544140761
765	1.543747982
766	1.541796637
767	1.54025459
768	1.539202538
769	1.536832895
770	1.533816689
771	1.531666483
772	1.528794263
773	1.525821816
774	1.522830503
775	1.519821577
776	1.518131224
777	1.513580995
778	1.511751029
779	1.507928739
780	1.507725695
781	1.503887653
782	1.502764754
783	1.500613816
784	1.498006447
785	1.496360878
786	1.494160117
787	1.48975939
788	1.487774334
789	1.486746562
790	1.485303287
791	1.484873978
792	1.482922817
793	1.482355988
794	1.479636882
795	1.476551434
796	1.472599312
797	1.468219463
798	1.464418921
799	1.464058118
800	1.463207537
801	1.46022574
802	1.458795407
803	1.456334482
804	1.453671929
805	1.452312641
806	1.448444063
807	1.44582196
808	1.444728668
809	1.444544916
810	1.441950553
811	1.440220292
812	1.437731399
813	1.43677873
814	1.434388222
815	1.431323337
816	1.427638922
817	1.427338446
818	1.426345172
819	1.425551811
820	1.421603555
821	1.420192784
822	1.417915236
823	1.417108226
824	1.414749911
825	1.411343649
826	1.408260682
827	1.406349215
828	1.405226569
829	1.404408872
830	1.402495608
831	1.401911511
832	1.398934467
833	1.397202856
834	1.396126682
835	1.393850323
836	1.392804901
837	1.392641191
838	1.39208959
839	1.391801649
840	1.390602989
841	1.386935035
842	1.385467157
843	1.385178223
844	1.38266148
845	1.380193154
846	1.379500734
847	1.379265565
848	1.378928723
849	1.377112831
850	1.374898578
851	1.373333185
852	1.372787524
853	1.372373254
854	1.370327524
855	1.368153723
856	1.366443728
857	1.364208224
858	1.363138116
859	1.361113544
860	1.359052346
861	1.358652369
862	1.356730643
863	1.356453395
864	1.355890315
865	1.354045346
866	1.353789819
867	1.353387841
868	1.350300745
869	1.347216602
870	1.345996357
871	1.343759935
872	1.339907779
873	1.336805382
874	1.335477093
875	1.334359555
876	1.331233556
877	1.32992313
878	1.328717624
879	1.327452442
880	1.325107454
881	1.32333421
882	1.321544659
883	1.318836654
884	1.315817179
885	1.315222648
886	1.314266122
887	1.312452232
888	1.311646442
889	1.310341783
890	1.307933083
891	1.30644187
892	1.303410248
893	1.302163265
894	1.29965646
895	1.298212007
896	1.29671541
897	1.296071554
898	1.295018708
899	1.291074652
900	1.288124047
901	1.287057662
902	1.285051062
903	1.283349716
904	1.282884604
905	1.280404639
906	1.277688416
907	1.276727561
908	1.275590874
909	1.273968519
910	1.272463994
911	1.270763974
912	1.268143679
913	1.266856588
914	1.26569517
915	1.263622768
916	1.262489471
917	1.259703373
918	1.257148511
919	1.255908724
920	1.253721146
921	1.249997044
922	1.248836574
923	1.24822175
924	1.247910325
925	1.247312791
926	1.246914615
927	1.245379694
928	1.243515247
929	1.24327449
930	1.241999062
931	1.239928661
932	1.237760726
933	1.237016135
934	1.234201537
935	1.232357948
936	1.231095869
937	1.22821279
938	1.224685697
939	1.223329848
940	1.222704031
941	1.219887556
942	1.218894436
943	1.218301903
944	1.217281508
945	1.214511986
946	1.214143701
947	1.212476022
948	1.210813035
949	1.208296977
950	1.205662148
951	1.20474203
952	1.203450073
953	1.202548616
954	1.200612991
955	1.198221998
956	1.195841649
957	1.193371797
958	1.191976788
959	1.191401921
960	1.190044136
961	1.188900271
962	1.187868068
963	1.186648694
964	1.184245154
965	1.182031168
966	1.181026741
967	1.180502476
968	1.178679021
969	1.177430559
970	1.175602344
971	1.174290872
972	1.172605259
973	1.169988832
974	1.169304583
975	1.168056737
976	1.165249934
977	1.164391807
978	1.163055978
979	1.161179445
980	1.158955863
981	1.15652782
982	1.156326193
983	1.154805777
984	1.154281091
985	1.152021949
986	1.150634009
987	1.149438167
988	1.148177324
989	1.145147639
990	1.143505115
991	1.142437978
992	1.139535828
993	1.139449159
994	1.138190351
995	1.137163756
996	1.13544791
997	1.133013631
998	1.1322554
999	1.132063653
